Case67,cntr_Manchester_TRY.epw,0,0.592,0.828,0.15,2480,0.025,0.054,0.054,0.97,38,0.0041,0.00064,22.8,144,0.33,9,0.08
Case68,cntr_Manchester_TRY.epw,0,0.592,0.432,0.15,2480,0.025,0.054,0.054,0.97,38,0.0041,0.00064,22.8,144,0.33,9,0.08
Case69,cntr_Manchester_TRY.epw,0,0.592,0.432,0.242,4000,0.015,0.054,0.021,0.782,24,0.0032,0.00028,19.6,0,0.05,9,15.032
Case70,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.015,0.054,0.021,0.782,24,0.0032,0.00028,19.6,0,0.05,9,15.032
Case71,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.015,0.054,0.021,0.782,24,0.0032,0.00028,19.6,0,0.05,9,0.08
Case72,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.015,0.054,0.021,0.782,24,0.0032,0.00028,19.6,0,0.05,3.84,0.08
Case73,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.015,0.054,0.021,0.782,24,0.0032,0.00028,19.6,0,0.47,3.84,0.08
Case74,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.015,0.054,0.021,0.782,24,0.0005,0.00028,19.6,0,0.47,3.84,0.08
Case75,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.015,0.054,0.054,0.782,24,0.0005,0.00028,19.6,0,0.47,3.84,0.08
Case76,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.015,0.054,0.054,0.782,66,0.0005,0.00028,19.6,0,0.47,3.84,0.08
Case77,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.015,0.054,0.054,0.5,66,0.0005,0.00028,19.6,0,0.47,3.84,0.08
Case78,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.015,0.054,0.054,0.5,66,0.0005,0.00028,24.4,0,0.47,3.84,0.08
