#,Job_ID,WeatherFile,ModelFile,@@EW_Abs@@,@@RSolar_Abs@@,@@SG_Trans@@,@@cp_w_conc@@,@@G_k@@,@@WIns_k@@,@@RIns_k@@,@@EW_S&V_Abs@@,@@IHG@@,@@V_Rate@@,@@Inf@@,@@C_SP@@,@@Rot@@,@@Glazz@@,@@Rat@@,@@RA@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: Total cooling Annual Value [kWh],c1: Peak Total Cooling [W],c2: Sens_Cooling Annual [kWh],c3: [W],c4: [W],c5: [kWh],c6: Calc Des Load [W],c7: User Design Load [W],c8: User Design Load per Area [W/m2],c9: Glazz Ratio[%],c10: Floor Area[m2],c11: Volume [m3],c12: Window Opening Area [m2],c13: Gross Wall Area [m2],c14: North Wall Area [m2],c15: East Wall Area [m2],c16: Peak Total Cooling Time,c17: [time],,,,
32,Case33,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.96,0.288,1720,0.01,0.01,0.021,0.876,80,0.0041,0.0001,18,180,0.19,0.4,20.016,EnergyPlus Completed Successfully,1,0,0,0,3.98,1.07E+07,5117748.22,-9866101.11,-4246293.72,5117748.22,1.07E+07,4205717.45,5046860.94,157.59,18.99,32025.6,112089.61,526.7,2772.97,396.14,990.35,0,0,334.1077138,159.8017904,,
33,Case34,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.96,0.288,1720,0.01,0.01,0.021,0.876,80,0.0014,0.0001,18,180,0.19,0.4,20.016,EnergyPlus Completed Successfully,2,0,0,0,3.63,1.80E+07,3535228.06,-1.77E+07,-3186215.6,3535228.06,1.80E+07,3171076.87,3805292.25,118.82,18.99,32025.6,112089.61,526.7,2772.97,396.14,990.35,0,0,562.0503597,110.3875668,,
34,Case35,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.38,200,0.015,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.33,3.84,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.6,3200919.13,3339197.67,-2845737.49,-2803695.7,3339197.67,3200921.69,2762187.23,3314624.67,103.5,32.99,32025.6,112089.6,1020.76,3094.04,319.63,1227.39,0,0,99.9487638,104.266514,,
35,Case36,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.868,0.828,0.38,2480,0.015,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.33,3.84,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.73,3239814.64,3341595.98,-2881908.99,-2805626.54,3341595.98,3239817.23,2764111.27,3316933.52,103.57,32.99,32025.6,112089.6,1020.76,3094.04,319.63,1227.39,0,0,101.1632769,104.3414013,,
36,Case37,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.38,2480,0.015,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.33,3.84,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.58,3244629.22,3343457.25,-2886425.27,-2806935.59,3343457.25,3244631.82,2765419.19,3318503.03,103.62,32.99,32025.6,112089.6,1020.76,3094.04,319.63,1227.39,0,0,101.3136122,104.3995194,,
37,Case38,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.38,2480,0.015,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.75,3.84,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.6,3292672.99,3418795.88,-2931897.59,-2876330.53,3418795.88,3292675.63,2834386.37,3401263.65,106.2,74.98,32025.6,112089.6,2319.9,3094.04,319.63,1227.39,0,0,102.8137799,106.7519697,,
38,Case39,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.38,2480,0.03,0.065,0.01,0.5,80,0.0032,0.00046,24.4,72,0.75,3.84,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.56,3262120.31,3424763.88,-2902848.69,-2881752.26,3424763.88,3262122.92,2839644.93,3407573.91,106.4,74.98,32025.6,112089.6,2319.9,3094.04,319.63,1227.39,0,0,101.8597719,106.9383206,,
39,Case40,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.38,2480,0.03,0.065,0.043,0.5,80,0.0032,0.00046,24.4,72,0.75,3.84,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.56,3264769.12,3475498.28,-2903709.8,-2913701,3475498.28,3264771.73,2874099.47,3448919.36,107.69,74.98,32025.6,112089.6,2319.9,3094.04,319.63,1227.39,0,0,101.942481,108.5225032,,
40,Case41,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.38,2480,0.03,0.065,0.043,0.5,80,0.0032,0.00046,24.4,72,0.75,9,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.59,3243666.59,3528761.39,-2883241.44,-2960808.62,3528761.39,3243669.19,2921313.73,3505576.47,109.46,74.98,32025.6,112089.59,3131.12,4175.66,208.78,1879.05,0,0,101.2835541,110.1856449,,
41,Case42,cntr_Manchester_TRY.epw,Aut_IDF_MorrisMethod.imf,0.592,0.828,0.38,2480,0.03,0.065,0.043,0.5,80,0.0032,0.001,24.4,72,0.75,9,20.016,EnergyPlus Completed Successfully,0,0,0,0,3.57,2450596.42,3671955.46,-2131314.4,-3050761.88,3671955.46,2450598.38,3005267.04,3606320.44,112.61,74.98,32025.6,112089.59,3131.12,4175.66,208.78,1879.05,0,0,76.51992219,114.6568826,,
